#SampleID	Type	Class1	Class2	Class3	ClassOther
'000001587.1130814'	multipleyear	1	0	0	0
'000002944.1130794'	multipleyear	1	0	0	0
'000002310.1130664'	multipleyear	1	0	0	0
'000002866.1130692'	multipleyear	1	0	0	0
'000002609.1130930'	multipleyear	1	0	0	0
'000001218.1130615'	multipleyear	1	0	0	0
'000001685.1130651'	multipleyear	0	0	0	1
'000001126.1130847'	multipleyear	0	0	0	0
'000001048.1130761'	multipleyear	0	0	0	0
'000003507.1130748'	multipleyear	1	0	0	0
'000002637.1130733'	multipleyear	1	0	0	0
'000002683.1130856'	multipleyear	1	0	0	0
'000001170.1130622'	multipleyear	1	0	0	0
'000001482.1130601'	multipleyear	1	0	0	0
'000003534.1130690'	multipleyear	1	0	0	0
'000001487.1130803'	multipleyear	1	0	0	0
'000002619.1130762'	multipleyear	1	0	0	0
'000001726.1130972'	multipleyear	0	0	0	1
'000002576.1130773'	multipleyear	1	0	0	0
'000001786.1130695'	multipleyear	0	0	0	1
'000001593.1130874'	multipleyear	1	0	0	0
'000001004.1130974'	multipleyear	0	0	0	0
'000002893.1130643'	multipleyear	1	0	0	0
'000001411.1130709'	multipleyear	1	0	0	0
'000001362.1130593'	multipleyear	1	0	0	0
'000002349.1130755'	multipleyear	1	0	0	0
'000001353.1130658'	multipleyear	1	0	0	0
'000001065.1130712'	multipleyear	0	0	0	0
'000001221.1130708'	multipleyear	1	0	0	0
'000001589.1130883'	multipleyear	1	0	0	0
'000003214.1130771'	multipleyear	1	0	0	0
'000001947.1130720'	multipleyear	0	0	0	1
'000001559.1130625'	multipleyear	1	0	0	0
'000001770.1130816'	multipleyear	0	0	0	1
'000001312.1130637'	multipleyear	1	0	0	0
'000001078.1130822'	multipleyear	0	0	0	0
'000001097.1130760'	multipleyear	0	0	0	0
'000003937.1130626'	multipleyear	1	0	0	0
'000003432.1130586'	multipleyear	1	0	0	0
'000002042.1130884'	multipleyear	0	0	0	1
'000002295.1130746'	multipleyear	1	0	0	0
'000001435.1130610'	multipleyear	1	0	0	0
'000004071.1130758'	multipleyear	1	0	0	0
'000001988.1130614'	multipleyear	0	0	0	1
'000001142.1130732'	multipleyear	1	0	0	0
'000001417.1130723'	multipleyear	1	0	0	0
'000002243.1130939'	multipleyear	1	0	0	0
'000001794.1130728'	multipleyear	0	0	0	1
'000002625.1130862'	multipleyear	1	0	0	0
'000002166.1130787'	multipleyear	0	0	0	1
'000001551.1130647'	multipleyear	1	0	0	0
'000001812.1130775'	multipleyear	0	0	0	1
'000001866.1130926'	multipleyear	0	0	0	1
'000002309.1130795'	multipleyear	1	0	0	0
'000003103.1130783'	multipleyear	1	0	0	0
'000001795.1130871'	multipleyear	0	0	0	1
'000002443.1130767'	multipleyear	1	0	0	0
'000004185.1130895'	multipleyear	1	0	0	0
'000002607.1130577'	multipleyear	1	0	0	0
'000001751.1130715'	multipleyear	0	0	0	1
'000001363.1130699'	multipleyear	1	0	0	0
'000002173.1130826'	multipleyear	0	0	0	1
'000002782.1130805'	multipleyear	1	0	0	0
'000001344.1130722'	multipleyear	1	0	0	0
'000001284.1130792'	multipleyear	1	0	0	0
'000002943.1130815'	multipleyear	1	0	0	0
'000001354.1130705'	multipleyear	1	0	0	0
'000002885.1130661'	multipleyear	1	0	0	0
'000003458.1130948'	multipleyear	1	0	0	0
'000001155.1130657'	multipleyear	1	0	0	0
'000001231.1130928'	multipleyear	1	0	0	0
'000001654.1130912'	multipleyear	1	0	0	0
'000001615.1130578'	multipleyear	1	0	0	0
'000001345.1130888'	multipleyear	1	0	0	0
'000001272.1130579'	multipleyear	1	0	0	0
'000001735.1130960'	multipleyear	0	0	0	1
'000003287.1130886'	multipleyear	1	0	0	0
'000001652.1130969'	multipleyear	1	0	0	0
'000001747.1130585'	multipleyear	0	0	0	1
'000001128.1130611'	multipleyear	0	0	0	0
'000002220.1130724'	multipleyear	1	0	0	0
'000002219.1130738'	multipleyear	1	0	0	0
'000002819.1130870'	multipleyear	1	0	0	0
'000001622.1130892'	multipleyear	1	0	0	0
'000001878.1130893'	multipleyear	0	0	0	1
'000001772.1130653'	multipleyear	0	0	0	1
'000002886.1130693'	multipleyear	1	0	0	0
'000001745.1130639'	multipleyear	0	0	0	1
'000001432.1130988'	multipleyear	1	0	0	0
'000002736.1130869'	multipleyear	1	0	0	0
'000002773.1130764'	multipleyear	1	0	0	0
'000003331.1130681'	multipleyear	1	0	0	0
'000001399.1130600'	multipleyear	1	0	0	0
'000001322.1130768'	multipleyear	1	0	0	0
'000004188.1130680'	multipleyear	1	0	0	0
'000001576.1130779'	multipleyear	1	0	0	0
'000004672.1130936'	multipleyear	1	0	0	0
'000001196.1130901'	multipleyear	1	0	0	0
'000001116.1130572'	multipleyear	0	0	0	0
'000001749.1130833'	multipleyear	0	0	0	1
'000003880.1130703'	multipleyear	1	0	0	0
'000001446.1130641'	multipleyear	1	0	0	0
'000001713.1130996'	multipleyear	0	0	0	1
'000001008.1130851'	multipleyear	0	0	0	0
'000004265.1130819'	multipleyear	1	0	0	0
'000003971.1130860'	multipleyear	1	0	0	0
'000001141.1130797'	multipleyear	1	0	0	0
'000001955.1130597'	multipleyear	0	0	0	1
'000001311.1130674'	multipleyear	1	0	0	0
'000003508.1130789'	multipleyear	1	0	0	0
'000002148.1130835'	multipleyear	0	0	0	1
'000001056.1130788'	multipleyear	0	0	0	0
'000004191.1130839'	multipleyear	1	0	0	0
'000002262.1130881'	multipleyear	1	0	0	0
'000001916.1130749'	multipleyear	0	0	0	1
'000001049.1130845'	multipleyear	0	0	0	0
'000004075.1130592'	multipleyear	1	0	0	0
'000001961.1130846'	multipleyear	0	0	0	1
'000002244.1130962'	multipleyear	1	0	0	0
'000001762.1130583'	multipleyear	0	0	0	1
'000001711.1130706'	multipleyear	0	0	0	1
'000003216.1130646'	multipleyear	1	0	0	0
'000001826.1130589'	multipleyear	0	0	0	1
'000001305.1130769'	multipleyear	1	0	0	0
'000001089.1130606'	multipleyear	0	0	0	0
'000004141.1130891'	multipleyear	1	0	0	0
'000001923.1130983'	multipleyear	0	0	0	1
'000001069.1130951'	multipleyear	0	0	0	0
'000002598.1130984'	multipleyear	1	0	0	0
'000001541.1130811'	multipleyear	1	0	0	0
'000001660.1130624'	multipleyear	1	0	0	0
'000001835.1130673'	multipleyear	0	0	0	1
'000001436.1130656'	multipleyear	1	0	0	0
'000003506.1130894'	multipleyear	1	0	0	0
'000002330.1130697'	multipleyear	1	0	0	0
'000001451.1130853'	multipleyear	1	0	0	0
'000003423.1130889'	multipleyear	1	0	0	0
'000001150.1130915'	multipleyear	1	0	0	0
'000003972.1130652'	multipleyear	1	0	0	0
'000003533.1130612'	multipleyear	1	0	0	0
'000002186.1130865'	multipleyear	1	0	0	0
'000002849.1130598'	multipleyear	1	0	0	0
'000004011.1130620'	multipleyear	1	0	0	0
'000001115.1130944'	multipleyear	0	0	0	0
'000002564.1130890'	multipleyear	1	0	0	0
'000001888.1130844'	multipleyear	0	0	0	1
'000002237.1130618'	multipleyear	1	0	0	0
'000001980.1130777'	multipleyear	0	0	0	1
'000002806.1130921'	multipleyear	1	0	0	0
'000001038.1130817'	multipleyear	0	0	0	0
'000001059.1130829'	multipleyear	0	0	0	0
